"Time (s)";"X (µT)";"Y (µT)";"Z (µT)"
8,156220833E-2;-8,412826538E0;-1,620258331E1;-3,682289124E1
1,820672083E-1;-1,014314270E1;-1,299641418E1;-3,810610962E1
2,825722083E-1;-1,569015503E1;-9,969249725E0;-3,716860962E1
3,830772083E-1;-1,935781860E1;-3,572387695E0;-3,676715088E1
4,835823333E-1;-1,753895569E1;-1,961639404E0;-3,818928528E1
5,840873333E-1;-1,980844116E1;-5,335723877E0;-3,663066101E1
6,845923333E-1;-2,511178589E1;-4,049697876E0;-3,395327759E1
7,850973333E-1;-3,052532959E1;6,707839966E-1;-2,817366028E1
8,856023333E-1;-3,611976624E1;5,409751892E0;-1,945858765E1
9,861073333E-1;-3,872052002E1;1,191457367E1;-6,486221313E0
1,086612333E0;-3,470724487E1;2,078523254E1;7,165710449E0
1,187117333E0;-2,774473572E1;2,575392914E1;1,756144714E1
1,287622333E0;-2,367901611E1;2,948018646E1;1,761628723E1
1,388127333E0;-2,385974121E1;2,659635162E1;2,071749878E1
1,488632083E0;-2,535742188E1;2,657157135E1;2,001914978E1
1,589137083E0;-2,478556824E1;2,861006165E1;1,732614136E1
1,689642083E0;-2,264247131E1;3,175609589E1;1,457882690E1
1,790147083E0;-2,066909790E1;3,323929596E1;1,404994202E1
1,890653083E0;-2,068045044E1;3,352663422E1;1,385174561E1
1,991158083E0;-2,202993774E1;3,234413910E1;1,421463013E1
2,091663083E0;-2,359066772E1;2,905141449E1;1,769505310E1
2,192168083E0;-2,342716980E1;2,816357422E1;1,961228943E1
2,292673083E0;-1,750669861E1;3,057219696E1;2,168431091E1
2,393178083E0;-1,412515259E1;3,000737000E1;2,341789246E1
2,493683708E0;-1,675013733E1;2,844435883E1;2,353645325E1
2,594188708E0;-1,963050842E1;2,833279419E1;2,241178894E1
2,694693708E0;-2,410707092E1;2,708535004E1;2,109983826E1
2,795198708E0;-2,477786255E1;2,640525818E1;2,168330383E1
2,895703708E0;-2,367800903E1;2,745088959E1;2,270100403E1
2,996208708E0;-2,096026611E1;2,986637878E1;2,192761230E1
3,096713708E0;-1,885380554E1;3,352596283E1;2,001309204E1
3,197218708E0;-1,455279541E1;3,755445099E1;1,578019714E1
3,297723708E0;-1,566613770E1;4,002277374E1;1,292469788E1
