"Time (s)";"X (rad/s)";"Y (rad/s)";"Z (rad/s)"
8,156220833E-2;-4,424157739E-1;-5,906674862E-1;-2,152420282E-1
1,820672083E-1;-2,118208408E0;-1,900271773E0;-5,944687128E-1
2,825722083E-1;-1,145360589E0;-2,661596775E0;3,312865496E-1
3,830772083E-1;-1,397922039E0;6,073154807E-1;-4,351392016E-2
4,835823333E-1;1,204349041E0;-4,503249004E-2;2,050908208E-1
5,840873333E-1;1,413664579E0;-2,379391193E0;2,678938389E0
6,845923333E-1;-8,453483582E-1;-1,405849576E0;7,160785198E-1
7,850973333E-1;1,256043762E-1;-2,298274755E0;1,614587784E0
8,856023333E-1;-1,941117167E0;-2,059643030E0;1,287332535E0
9,861073333E-1;-2,406886578E0;-2,202867508E0;2,192041159E0
1,086612333E0;-1,851835489E0;-2,658526182E0;2,961375713E0
1,187117333E0;-2,147181034E0;3,482440710E-1;2,062099695E0
1,287622333E0;-1,033203751E-1;1,208872795E0;1,493999839E0
1,388127333E0;-1,999247551E0;2,041564703E0;-1,992668658E-1
1,488632083E0;-1,529662490E0;2,295439005E0;1,077126384E0
1,589137083E0;-2,248956859E-1;1,937188983E0;1,391146064E0
1,689642083E0;5,895451903E-1;-1,062621713E0;6,037216783E-1
1,790147083E0;-3,166825473E-1;2,922734022E-1;7,187902331E-1
1,890653083E0;5,384073257E-1;4,810202718E-1;-7,599899769E-1
1,991158083E0;1,042752862E-1;-1,895872116E0;-1,520894647E0
2,091663083E0;-8,319082856E-1;-5,834702253E-1;-5,148139000E-1
2,192168083E0;1,116854548E-1;-4,805637896E-1;6,724098325E-1
2,292673083E0;-9,801574945E-1;6,611533761E-1;2,633080721E0
2,393178083E0;-9,037286639E-1;8,108398318E-1;-5,190580487E-1
2,493683708E0;3,567433357E-2;7,329920530E-1;3,256827593E-1
2,594188708E0;-2,991419137E-1;-3,527209759E-1;-1,093757033E0
2,694693708E0;-2,716178298E-1;3,597666323E-1;-3,853919357E-2
2,795198708E0;-3,292248845E-1;2,108465284E-1;9,750537574E-2
2,895703708E0;3,494814336E-1;-3,999278843E-1;5,085337758E-1
2,996208708E0;-6,780877709E-2;-2,366569638E-2;6,371319294E-1
3,096713708E0;1,417654276E0;-3,776931018E-2;1,328470111E0
3,197218708E0;1,118391752E0;-1,486499161E-1;1,624569893E-1
3,297723708E0;3,375067413E-1;-9,089419246E-2;2,565920949E-1
3,398228708E0;5,624383092E-1;-2,400014997E-1;1,326171756E0
3,498733917E0;-3,960759640E-1;3,370808363E-1;2,093193531E-1
3,599238917E0;-5,448464155E-1;-8,665430546E-2;-3,962730616E-2
3,699743917E0;1,528740525E-1;8,585204370E-3;5,645985529E-2
3,800248917E0;-1,407299656E-2;1,142245252E-2;1,939300001E-1
3,900753917E0;-1,817977428E-1;-1,364599019E-1;2,507413030E-1
4,001258917E0;-1,088132113E-1;-9,462505579E-3;1,442227364E-1
4,101763917E0;-8,639991283E-2;-2,329133153E-1;-3,424506262E-2
4,202268917E0;-1,326131672E-1;-3,660137355E-1;6,601992995E-2
4,302773917E0;7,818135619E-2;-1,054385826E-1;-2,018087506E-1
4,403278917E0;-2,131969854E-2;-4,642669857E-1;-7,610643655E-2
4,503783833E0;1,157397702E-1;-4,339553118E-1;7,141576707E-2
4,604288833E0;7,166614383E-2;-2,461853772E-1;1,786309481E-2
4,704793833E0;1,096779332E-1;-3,075762391E-1;1,445057392E-1
4,805298833E0;-2,238134854E-2;-1,330974549E-1;7,788484544E-2
4,905803833E0;-3,042021394E-2;2,545070946E-1;1,341378540E-1
5,006308833E0;-3,717961907E-2;2,453681082E-2;1,367419064E-1
5,106813833E0;2,716696560E-1;1,064795703E-1;-4,576761648E-2
5,207318833E0;-3,474958241E-1;-6,149110571E-2;2,709568739E-1
5,307823833E0;8,749227226E-2;-4,559371471E-1;7,908021659E-2
5,408328833E0;-7,798770815E-2;-3,987453878E-2;1,835027039E-1
5,508833417E0;1,306916773E-1;-1,479182839E-1;1,420273483E-1
5,609338417E0;-3,715809062E-2;5,765281245E-2;7,249207795E-2
5,709843417E0;9,618137777E-2;-6,335360557E-2;-5,361601710E-2
5,810348417E0;4,369721934E-2;1,097978950E-1;-2,923825979E-1
5,910853417E0;-3,178962171E-1;5,568608046E-1;9,176337719E-2
6,011358417E0;-7,747288793E-2;2,549292743E-1;-3,127416670E-1
6,111863417E0;-5,649359152E-2;2,753373235E-2;-5,015637279E-1
6,212368417E0;3,999893963E-1;-2,752233446E-1;-5,073100328E-1
6,312873417E0;6,355823278E-1;1,427996755E-1;-3,993593156E-1
6,413379667E0;8,116724491E-1;3,000325859E-1;-6,150505543E-1
6,513884667E0;2,607027628E-2;-7,300247997E-2;3,243593574E-1
6,614389667E0;-3,851324320E-2;9,276167303E-2;3,469300568E-1
6,714894667E0;3,537001312E-1;2,272892743E-1;2,502039969E-1
6,815399667E0;-4,228579700E-1;-9,214614332E-2;2,305058986E-1
6,915904667E0;-4,513781667E-1;-2,497513741E-1;5,051746368E-1
7,016409667E0;-6,755995154E-1;-4,218899906E-1;2,068694085E-1
7,116914667E0;-4,810312986E-1;-5,193037987E-1;4,369643331E-2
7,217419667E0;-4,063355327E-1;-5,669451952E-1;-3,196100891E-2
7,317924667E0;3,082450330E-1;1,422747374E-1;-9,355863333E-1
7,418429292E0;5,490268469E-1;5,105770230E-1;-2,847763002E-1
7,518934292E0;-1,772753745E-1;1,083102003E-1;-3,192557096E-1
7,619439292E0;-2,305801064E-1;-2,123656422E-1;2,173725367E-1
7,719944292E0;1,281199157E-1;-3,217259347E-1;-2,598621249E-1
7,820449292E0;-5,276066661E-1;2,858087886E-3;3,754138947E-1
7,920954292E0;2,105919570E-1;-2,949443460E-1;-5,828938484E-1
8,021459292E0;1,007341146E-1;-1,965099573E-1;-5,409927964E-1
8,121964292E0;9,847611785E-1;-9,427416325E-2;-6,985773444E-1
8,222469292E0;3,136437535E-1;-1,405640692E-1;-2,170997858E-1
8,322974292E0;-1,816752106E-1;-5,538657308E-1;2,655504942E-1
8,423479792E0;-1,040535197E-1;-5,287229419E-1;3,257966638E-1
8,523984792E0;-1,731982082E-1;-3,545225263E-1;1,580146104E-1
8,624489792E0;-4,295527935E-1;-8,550621867E-1;6,067291498E-1
8,724994792E0;-4,183012843E-1;-5,609264374E-1;2,812549174E-1
8,825500792E0;-3,083041869E-3;-8,509961367E-1;-4,322194681E-2
8,926005792E0;3,664518893E-1;-6,395151019E-1;-9,870989621E-2
9,026510792E0;2,216030508E-1;-1,393224448E-1;-2,263967544E-1
9,127015792E0;-2,474656850E-1;-5,452318192E-1;1,896302551E-1
9,227520792E0;-9,115317464E-2;-1,672627926E-1;6,936012954E-2
9,328025792E0;3,040559590E-1;-3,249020278E-1;-1,316501349E-1
9,428530792E0;5,635246634E-1;-1,088238433E-1;-5,461844802E-1
9,529035792E0;7,938665152E-1;1,776302010E-1;-5,355860591E-1
9,629540792E0;2,504311800E-1;1,957856566E-1;1,687803119E-1
9,730045792E0;-1,275941432E-1;1,117791682E-1;2,616989613E-1
9,830550792E0;-3,921629786E-1;-3,897819901E-3;4,582971931E-1
9,931055792E0;-4,344613254E-1;-3,208752275E-1;3,555206358E-1
1,003156079E1;-3,047656119E-1;-3,950684369E-1;4,965537190E-1
1,013206579E1;-2,636803687E-2;8,450153470E-2;2,979768217E-1
1,023257079E1;2,627869248E-1;-1,896686256E-1;9,910929948E-2
1,033307579E1;-5,777747184E-2;1,710762382E-1;7,389537245E-2
1,043358117E1;-2,490633577E-1;3,210566342E-1;-1,026406437E-1
1,053408617E1;6,745427847E-2;4,346591532E-1;-1,076880470E-1
1,063459117E1;3,530730903E-1;2,161151916E-1;-3,946547955E-2
1,073509617E1;3,257705867E-1;-3,328493536E-1;-1,704537719E-1
1,083560117E1;7,872017622E-1;3,410250247E-1;-5,199773908E-1
1,093610617E1;-8,303056657E-2;-4,549671710E-2;-9,450127929E-2
1,103661117E1;-2,343439907E-1;1,158084534E-2;9,273537248E-2
1,113711617E1;-3,992004097E-1;3,483641744E-1;1,667127907E-1
1,123762117E1;-2,356743217E-1;3,477832973E-1;6,586418301E-2
1,133812617E1;-1,843123138E-1;-3,712241650E-1;4,084770083E-1
1,143863017E1;2,002386190E-2;5,807583779E-2;4,910565168E-2
1,153913517E1;2,886392474E-1;-1,500275135E-1;-1,395765133E-2
1,163964017E1;2,970692813E-1;2,518746853E-1;-2,911184728E-1
1,174014517E1;1,318190396E-1;2,411213005E-3;-2,714397311E-1
1,184065017E1;2,573439479E-1;-1,780158877E-1;-2,590698376E-2
1,194115517E1;4,639150202E-1;-2,428168058E-1;-1,788987964E-1
1,204166017E1;5,445669293E-1;-1,812254637E-1;-1,585816294E-1
1,214216517E1;8,647192270E-2;1,620420069E-1;-3,893889859E-2
1,224267017E1;-1,738427728E-1;2,344228923E-1;8,179923147E-2
1,234317517E1;-4,304083884E-1;5,219938159E-1;2,937170565E-1
1,244368071E1;-3,006064296E-1;4,965165257E-1;3,706527501E-2
1,254418571E1;-2,501397431E-1;3,355581462E-1;-1,144579351E-1
1,264468971E1;5,218169838E-2;-3,394365907E-1;3,092522919E-2
1,274519471E1;1,735564470E-1;-2,558788955E-1;-2,011215985E-1
1,284569971E1;-2,845973074E-1;-2,782988846E-1;8,004923165E-2
1,294620471E1;-7,952655852E-2;-1,122433022E-1;-2,509604692E-1
1,304670971E1;5,809587836E-1;1,184329763E-1;-2,323229313E-1
1,314721471E1;4,668577611E-1;-3,060253803E-3;-5,429136008E-2
1,324771971E1;4,097111225E-1;-1,878348887E-1;-2,721704245E-1
1,334822471E1;5,722739697E-1;3,482003510E-1;-2,744366527E-1
1,344872933E1;-9,510037303E-2;3,810234964E-1;3,524676263E-1
1,354923433E1;-4,264483750E-1;2,791137993E-1;1,972856224E-1
1,364973933E1;-4,721584916E-1;2,750460207E-1;1,412633657E-1
1,375024433E1;-2,351762652E-1;1,134160091E-3;2,125882357E-1
1,385074933E1;2,049395442E-1;4,146405682E-2;-1,139737945E-2
1,395125433E1;-1,830854416E-1;-7,678784430E-2;-2,296059579E-2
1,405175933E1;-1,381739527E-1;1,271852404E-1;-1,544906199E-1
1,415226333E1;2,649218030E-2;-1,518755406E-1;-2,265982777E-1
1,425276833E1;3,486099839E-1;-1,424890459E-1;-2,058743685E-1
1,435327333E1;6,701171398E-1;-1,318451315E-1;-4,389256835E-1
1,445377792E1;5,190660954E-1;-4,052906930E-1;5,618299544E-2
1,455428292E1;2,634212561E-2;3,527951892E-3;-2,103471309E-1
1,465478792E1;-1,426729113E-1;2,687634826E-1;2,021480054E-1
1,475529292E1;-2,289412916E-1;2,310340852E-1;2,905556262E-1
1,485579792E1;-5,275504589E-1;1,986848265E-1;2,190764844E-1
1,495630292E1;-7,936871797E-2;2,224711627E-1;4,694902152E-2
1,505680792E1;3,901543021E-1;4,096440598E-2;-8,723031729E-2
1,515731192E1;-4,711239040E-2;-3,557811379E-1;-6,111721694E-2
1,525781692E1;-5,082523450E-2;2,229369804E-2;-2,567895949E-1
1,535832192E1;1,740461737E-1;-3,976579756E-2;-1,199125350E-1
1,545882742E1;-7,964142412E-2;-5,001707673E-1;-5,795722827E-4
1,555933242E1;5,048243403E-1;-5,642524958E-1;-1,843505502E-1
1,565983742E1;5,365194678E-1;-9,726723284E-2;-2,268894017E-1
1,576034242E1;-1,154237837E-1;5,202705041E-2;2,252487242E-1
1,586084742E1;-2,561272085E-1;3,739626110E-1;2,133446038E-1
1,596135242E1;-3,786778152E-1;3,433510363E-1;5,233219862E-1
1,606185642E1;-1,950628161E-1;2,880872190E-1;1,761588454E-1
1,616236142E1;-1,349250227E-1;2,777675092E-1;-2,294163555E-1
1,626286642E1;1,480676830E-1;8,901468664E-2;-6,695739925E-2
1,636337142E1;3,396020532E-1;-2,840023637E-1;-8,975432813E-2
1,646387621E1;2,258389443E-1;1,621544361E-1;-2,267970443E-1
1,656438121E1;-1,129356176E-1;1,266625673E-1;-5,725141987E-2
1,666488621E1;4,490845203E-1;4,693336785E-2;-2,546450496E-1
1,676539021E1;5,489592552E-1;-3,311289549E-1;-2,546419203E-1
1,686589521E1;3,831922114E-1;2,746096551E-1;-3,918163478E-1
1,696640021E1;-1,363697052E-1;3,620651960E-1;1,374456286E-1
1,706690521E1;-4,436317980E-1;3,873134255E-1;1,793728769E-1
1,716741021E1;-5,006590486E-1;2,795680761E-1;1,701569706E-1
1,726791521E1;-2,484344840E-1;2,867656387E-2;1,301760823E-1
1,736842021E1;-2,560026944E-1;-1,317773014E-1;2,115723491E-2
1,746892442E1;-2,187725455E-1;-2,880464494E-1;1,559446845E-2
1,756942942E1;-1,061863750E-1;-3,285896182E-1;-8,173120022E-2
1,766993442E1;5,513935909E-2;-5,048254728E-1;-7,031973451E-2
1,777043942E1;5,459461361E-2;-4,089015126E-1;-2,025849521E-1
1,787094442E1;4,111068249E-1;-3,929280341E-1;-1,693005115E-1
1,797144842E1;5,748811960E-1;-2,184201032E-1;-1,183115765E-1
1,807195342E1;1,239983886E-1;7,014942169E-2;9,200192988E-2
1,817245842E1;-5,739799235E-3;4,303504229E-1;2,613188922E-1
1,827296342E1;-4,082236588E-1;3,517217338E-1;4,349003434E-1
1,837346842E1;-3,678464592E-1;3,100191951E-1;1,739615202E-1
1,847397358E1;-1,023988500E-1;3,371267915E-1;-9,452473372E-3
1,857447758E1;-1,735264063E-1;-2,201945037E-1;1,195238829E-1
1,867498258E1;-1,312808841E-1;-2,078205347E-1;-2,108209133E-1
1,877548758E1;4,623403400E-2;1,706541777E-1;-1,247010380E-1
1,887599258E1;9,602504969E-2;-5,124447495E-2;-6,725989282E-2
1,897649658E1;2,050833255E-1;-3,779064119E-1;-1,368034184E-1
1,907700158E1;4,450686574E-1;-2,968952954E-1;-3,348604441E-1
1,917750658E1;3,136011660E-1;1,537796259E-1;-2,085666358E-1
1,927801158E1;-7,177506387E-2;8,524691314E-2;2,390383482E-1
1,937851658E1;-2,973980904E-1;3,540090621E-1;2,165287733E-1
1,947902092E1;-3,511217833E-1;8,322616667E-2;2,305749506E-1
1,957952592E1;-8,519718051E-2;3,373847902E-1;-6,576161832E-5
1,968003092E1;-1,222141013E-1;7,584123313E-2;3,910356760E-2
1,978053592E1;7,171709836E-2;-3,151086867E-1;-1,367717236E-1
1,988103992E1;5,736996979E-2;-2,278401144E-2;-2,426842600E-1
1,998154492E1;1,760540158E-1;6,187415123E-2;-9,243164212E-2
2,008204992E1;3,703973591E-1;-1,170822009E-1;-2,531187534E-1
2,018255492E1;4,694872499E-1;-4,273419678E-1;-1,697826684E-1
2,028305892E1;4,823726714E-1;1,829567403E-1;-2,366812676E-1
2,038356392E1;1,887001246E-1;2,994378507E-1;2,302058041E-1
2,048406808E1;-3,467355669E-1;3,715000451E-1;2,589296401E-1
2,058457308E1;-4,176350832E-1;4,928950965E-1;1,561627686E-1
2,068507708E1;-7,158008218E-1;-1,312156916E-1;4,882326424E-1
2,078558208E1;-2,401717156E-1;6,177340820E-2;-7,287791371E-2
2,088608708E1;-1,619708985E-1;-1,026876345E-1;1,635422371E-2
2,098659108E1;9,525556117E-2;-2,404324859E-1;-1,078612804E-1
2,108709608E1;2,524422109E-1;1,788540483E-1;-2,722916305E-1
2,118760108E1;2,453672290E-1;2,413980290E-2;-1,817134470E-1
2,128810608E1;7,705829740E-1;-1,066580638E-1;-4,758898616E-1
2,138861008E1;2,819740772E-1;-1,581572443E-1;-8,204194158E-2
2,148911533E1;1,250558496E-1;2,297354341E-1;-3,734621219E-3
2,158962033E1;-3,220866024E-1;1,795653403E-1;2,687418759E-1
2,169012433E1;-3,571551144E-1;2,577009797E-1;2,110662013E-1
2,179062933E1;-3,551760316E-1;1,649654806E-1;1,397432238E-1
2,189113433E1;-1,158841550E-1;1,459809095E-1;-9,754570574E-2
2,199163833E1;1,739967428E-2;8,310462534E-2;-1,218146533E-1
2,209214333E1;5,714868195E-3;-2,406038195E-1;6,366496440E-3
2,219264833E1;-2,984168231E-1;-7,673579454E-2;-2,713457495E-2
2,229315333E1;1,351019442E-1;-4,345669225E-2;-4,480573907E-2
2,239365733E1;1,666812003E-1;-3,370417058E-1;-1,788868159E-1
2,249416217E1;3,214017451E-1;-6,114760637E-1;-2,300982475E-1
2,259466717E1;1,577782184E-1;-6,709528714E-2;-2,261168212E-1
2,269517117E1;-1,676567830E-2;2,476043403E-1;2,409691960E-1
2,279567617E1;-1,006365418E-1;5,363304615E-1;2,429046482E-1
2,289618117E1;-5,535415411E-1;3,186514676E-1;3,230726123E-1
2,299668517E1;-3,834120035E-1;3,113728575E-2;2,204225026E-2
